YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
2014,FRYING PAN,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"133,284","133,177",Happy Camp Cpx #5956; Merged Delta/Faulkstein/Man
2014,KING,Eldorado National Forest,USDA Forest Service,Arson,Suppression (Wildfire),"97,717","97,685",
2014,BALD,Lassen National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"39,751","39,752",
2014,WHITES,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"33,758","33,794",July Complex #5564
2014,BEAVER,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"32,496","32,493",Merged with Cleghorn #5496
2014,EILER,Lassen National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"47,958","31,995",
2014,COLEMAN,Northern CA District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"15,233","15,243",<Null>
2014,FRENCH,Sierra National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"13,837","13,832",<Null>
2014,DAY,Lassen - Modoc CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"13,153","13,151",
2014,BULLY,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),"12,661","12,659",
2014,LODGE,Mendocino CDF,California Department of Forestry and Fire Protection,Lightning,Suppression (Wildfire),"12,536","12,533",
2014,MONTICELLO,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"6,599",
2014,COFFEE,Shasta-Trinity National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"6,251","6,182",<Null>
2014,LITTLE DEER,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"5,498","5,500",<Null>
2014,BUTTS,Sonoma - Lake - Napa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"4,297",FIMT  H6UW
2014,SAND,Amador - El Dorado CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),"4,240","4,239",
2014,WAY,Kern County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"3,882",COUNTY #1427597 fed # 003148
2014,LOG,Klamath National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),"3,632","3,637",July Complex #5564
2014,SHIRLEY,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"2,545","2,546",COUNTY #1418812
2014,COCOS,San Diego CDF,Local Response Area,Unknown / Unidentified,Suppression (Wildfire),"2,000","1,995",<Null>
2014,COLBY,Angeles National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"1,980","1,952",LAC #014099
2014,NICOLLS,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,680","1,679",<Null>
2014,SODA,Sequoia National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),"1,435","1,423",
2014,GULCH,Modoc National Forest,USDA Forest Service,Railroad,Suppression (Wildfire),"1,396","1,397",Merged with GULCH2 #0358
2014,GULCH,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),"1,374","1,375",
2014,BERNARDO,San Diego CDF,Local Response Area,Equipment Use,Suppression (Wildfire),"1,548","1,331",<Null>
2014,MALT,Northern CA District - BLM,Bureau of Land Management,Lightning,Suppression (Wildfire),"1,054","1,063",
2014,SILVERADO,Cleveland National Forest,USDA Forest Service,Miscellaneous,Suppression (Wildfire),959,959,<Null>
2014,CAMPBELL,Lassen National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),865,865,<Null>
2014,HUNTER FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,691,
2014,DALTON,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),641,641,<Null>
2014,MIGUELITO,Santa Barbara County,Contract County,Powerline,Suppression (Wildfire),632,632,tree branches blown into power lines
2014,JUNCTION FIRE,Madera - Mariposa CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,612,
2014,BOLES,City of Weed Vol. Fire Dept.,Local Response Area,Arson,Suppression (Wildfire),495,516,City of Weed
2014,OREGON,Shasta - Trinity CDF,California Department of Forestry and Fire Protection,Vehicle,Suppression (Wildfire),461,461,
2014,APPLEGATE,Nevada - Yuba - Placer CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),459,459,6 Res Destroyed 4 Outbuilding Destroyed
2014,DOBIE,Modoc National Forest,USDA Forest Service,Lightning,Suppression (Wildfire),456,456,<Null>
