YEAR,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Length,Shape_Area,ALARM_DATE_Con,CONT_DATE_Conv
2015,California,Sierra National Forest,89,ROUGH,USDA Forest Service,3 - Infrared,1 - Lightning,1746,Suppression (Wildfire),<Null>,151623,151546.8,320337.6722,613288192.1,7/31/2015,11/6/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,VALLEY ,California Department of Forestry and Fire Protection,3 - Infrared,14 - Unknown / Unidentified,8670,Suppression (Wildfire), $59 Million(Cost),<Null>,76084.84,240273.5095,307904407.2,9/12/2015,10/6/2015
2015,California,Amador - El Dorado CDF,<Null>,BUTTE,California Department of Forestry and Fire Protection,1 - GPS Ground,14 - Unknown / Unidentified,24918,Suppression (Wildfire),,70868,70846.53,154072.7845,286705732.7,9/10/2015,9/28/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,ROCKY  ,California Department of Forestry and Fire Protection,3 - Infrared,9 - Miscellaneous,6984,Suppression (Wildfire),"$46,200,000.00 Milion (Cost)",69636,69438.16,135116.4979,281006294.2,7/29/2015,8/14/2015
2015,California,Shasta-Trinity National Forest,149,HAPPY,USDA Forest Service,3 - Infrared,1 - Lightning,2066,Suppression (Wildfire),GeoMAC says River Comlpex #2066 Individual fire inci number unknown,1800,68095.24,216447.4949,275571671.9,7/30/2015,8/8/2015
2015,California,San Bernardino National Forest,34,LAKE,USDA Forest Service,7 - Mixed Collection Methods,9 - Miscellaneous,7894,Suppression (Wildfire), ,51000,31284.44,131143.7969,126603642.9,6/17/2015,12/31/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,JERUSALEM ,California Department of Forestry and Fire Protection,3 - Infrared,14 - Unknown / Unidentified,7410,Suppression (Wildfire), $25 Million (Cost),25118,25118.38,74504.52563,101650468.8,8/9/2015,8/24/2015
2015,California,Six Rivers National Forest,91,LASSICS,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1433,Suppression (Wildfire),Mad River Complex #1433.  No Contain Date in Firestat,18178.4,18192.03,59497.17601,73620549.1,7/30/2015,9/6/2015
2015,California,Shasta-Trinity National Forest,197,JOHNSON,USDA Forest Service,3 - Infrared,1 - Lightning,1476,Suppression (Wildfire),GeoMAC says Route Complex #1476 Individual fire inci number unknown,34006,17821.11,105442.497,72119459.72,7/30/2015,10/30/2015
2015,California,Humbolt-Toiyabe National Forest,<Null>,WASHINGTON,USDA Forest Service,3 - Infrared,1 - Lightning,30251,Suppression (Wildfire), ,<Null>,17779.54,95937.84073,71951242.38,7/19/2015,1/1/2015
